Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,113500.0,105500.0,113500.0,106000.0,271562.0,106000.0
2019-01-03,109000.0,104000.0,105500.0,104000.0,236841.0,104000.0
2019-01-04,109500.0,103000.0,103500.0,108500.0,218348.0,108500.0
2019-01-07,111500.0,109000.0,109000.0,110500.0,154726.0,110500.0
2019-01-08,113500.0,109000.0,112000.0,109000.0,126350.0,109000.0
2019-01-09,113000.0,109000.0,109500.0,112000.0,150310.0,112000.0
2019-01-10,119500.0,112000.0,112000.0,114000.0,316851.0,114000.0
2019-01-11,117000.0,112000.0,113000.0,115500.0,179824.0,115500.0
2019-01-14,116500.0,112000.0,114500.0,113000.0,134281.0,113000.0
2019-01-15,113500.0,111500.0,113000.0,112000.0,111048.0,112000.0
2019-01-16,113500.0,109000.0,111000.0,109500.0,147350.0,109500.0
2019-01-17,111000.0,108500.0,109500.0,109500.0,185042.0,109500.0
2019-01-18,111000.0,105500.0,111000.0,106000.0,312789.0,106000.0
2019-01-21,106500.0,103000.0,106000.0,103500.0,361789.0,103500.0
2019-01-22,106500.0,102000.0,104000.0,106000.0,275732.0,106000.0
2019-01-23,108500.0,105500.0,105500.0,107500.0,184452.0,107500.0
2019-01-24,107500.0,105000.0,106500.0,106500.0,131913.0,106500.0
2019-01-25,113500.0,108000.0,108000.0,110000.0,360582.0,110000.0
2019-01-28,112500.0,109500.0,111500.0,111500.0,172596.0,111500.0
2019-01-29,113500.0,110000.0,111500.0,110500.0,165637.0,110500.0
2019-01-30,112000.0,109500.0,110500.0,110000.0,250144.0,110000.0
2019-01-31,112000.0,106500.0,112000.0,107000.0,266698.0,107000.0
2019-02-01,110000.0,107500.0,107500.0,109500.0,166109.0,109500.0
2019-02-07,110500.0,108000.0,110000.0,109500.0,123492.0,109500.0
2019-02-08,128000.0,112500.0,115000.0,119000.0,1354003.0,119000.0
2019-02-11,124500.0,117500.0,119000.0,119000.0,541698.0,119000.0
2019-02-12,119500.0,116500.0,119000.0,118000.0,217809.0,118000.0
2019-02-13,123500.0,116500.0,117500.0,123500.0,447866.0,123500.0
2019-02-14,124000.0,117000.0,118500.0,124000.0,459918.0,124000.0
2019-02-15,123000.0,118500.0,121500.0,119000.0,221949.0,119000.0
2019-02-18,121500.0,117000.0,119000.0,119500.0,140160.0,119500.0
2019-02-19,120500.0,108000.0,119500.0,117000.0,726269.0,117000.0
2019-02-20,118500.0,114000.0,116000.0,115000.0,256806.0,115000.0
2019-02-21,119500.0,115500.0,115500.0,118500.0,264047.0,118500.0
2019-02-22,120500.0,116500.0,119000.0,118500.0,165340.0,118500.0
2019-02-25,122000.0,117500.0,118500.0,121500.0,167349.0,121500.0
2019-02-26,123000.0,121000.0,121000.0,122000.0,170833.0,122000.0
2019-02-27,123000.0,120500.0,122000.0,122000.0,134672.0,122000.0
2019-02-28,120000.0,117000.0,119500.0,118000.0,228333.0,118000.0
2019-03-04,119000.0,115000.0,118000.0,115500.0,181551.0,115500.0
2019-03-05,116500.0,111500.0,115500.0,112000.0,240465.0,112000.0
2019-03-06,114000.0,112000.0,112500.0,113000.0,134736.0,113000.0
2019-03-07,114000.0,112000.0,114000.0,112500.0,96231.0,112500.0
2019-03-08,114000.0,112000.0,113000.0,113000.0,109035.0,113000.0
2019-03-11,113500.0,112000.0,113500.0,113500.0,94465.0,113500.0
2019-03-12,115000.0,113500.0,114000.0,114000.0,98278.0,114000.0
2019-03-13,114500.0,111500.0,113500.0,114000.0,130370.0,114000.0
2019-03-14,115500.0,114000.0,115000.0,115500.0,220885.0,115500.0
2019-03-15,120000.0,115000.0,115500.0,120000.0,211681.0,120000.0
2019-03-18,122000.0,119000.0,120500.0,120500.0,129947.0,120500.0
